Timestamp,"1.Destek programına katılmak, deprem sonrasında duygusal açıdan desteklenmemi ve kendimi daha güvende hissetmemi sağladı. ","2.Bu proje, eğitimime devam etme motivasyonumu artırdı. ","3.Ücretsiz destek dersleri, ders konularını kavrayışımı belirgin şekilde geliştirdi. ","4.Gönüllü üniversite öğrencilerinden ders almayı, geleneksel öğretmenlerden ders almaya tercih ederim. ",5.Gönüllü öğretmenlerin paylaştığı bilgilerin güvenilirliği ve doğruluğu konusunda endişelerim var.,6.Bire bir destek derslerini grup derslerine tercih ediyorum. ,"7.Dersler için Zoom'u ana araç olarak kullanmak, etkili bir öğrenme ortamı sağladı.","8.Akranlar arası eğitim için özel bir online platform olsaydı, öğrenme deneyimim çok daha iyi olurdu. ",9.Akran eğitim modelinin dünya çapında yaygınlaştırılmasının eğitim eşitsizliklerini azaltacağını düşünüyorum.,"10.1 Doğal afet dönemlerinde (örneğin, okullar kapandığında ya da zarar gördüğünde)","10.2 Normal zamanlarda, düzenli sınıf eğitiminin yanında bir destek aracı olarak","11.Gelecekte üniversiteye başladığımda, üst sınıf veya doktora öğrencilerinin verdiği akran destek derslerinden faydalanmaya devam etmek isterim. (Üniversiteye gitmeyi düşünmüyorsanız bu soruyu atlayabilirsiniz.) ",12.Gelecekteki akran eğitimi projelerine gönüllü bir eğitmen olarak katkı sağlamaya istekliyim. (Üniversiteye gitmeyi düşünmüyorsanız bu soruyu atlayabilirsiniz.) ,13.Gelecekte akranlar arası destek derslerini geliştirmek için ne gibi önerileriniz var?
4/12/2025 18:41:10,5,5,5,5,5,5,5,5,5,4,4,5,5,Diğer ders lerin gelmesi
4/12/2025 18:41:40,5,3,4,4,3,3,4,3,1,3,2,3,3,Yok
4/12/2025 18:42:45,4,5,4,3,1,4,3,5,4,2,3,5,4,".
"
4/12/2025 18:47:34,5,5,5,3,1,4,5,3,5,4,4,5,5,Bende destek olup daha çok kişiye destek sağlamak için katkıda bulunmak isterim 
4/12/2025 18:49:19,5,5,5,4,1,4,5,3,5,5,5,5,1,Yaptığınız eğitim gayet iyiydi çok teşekkür ederim. 
4/12/2025 18:49:37,3,4,5,4,2,1,4,3,4,5,4,3,2,"Belli bir sınıflandırma sistemi ile o konuda daha hızlı öğrenen daha gelişmiş kişilerin seviye seviye azalacak sekilde siniflandirilmasi her taraf için daha rahat olur. Bu sekilde hızlı öğrenemeyen çocukta eşit hak almış olur, Hızlı öğrenenlerde."
4/12/2025 18:50:10,5,5,5,4,2,2,5,5,4,3,2,4,4,Ders aralıkları az daha kısa olabilir fazla ders iyi olurdu onun dışında herşey çok güzeldi yaptığınız şahane bir hayır işiydi hakkınız ödenmez çok teşekkür ederim gerçi biz depremden korunmak için gittiğimiz köyde internet çekmiyordu derslerin çoğunu kaçırdım ama girdiklerim mükemmeldi
4/12/2025 18:56:23,5,5,5,5,5,5,5,5,5,3,3,5,5,Böyle derslerin devamını diliyoruz
4/12/2025 18:57:05,5,5,5,5,1,1,5,3,4,4,4,5,5,Okumayan çocuk kalmasin 
4/12/2025 18:57:08,5,5,5,1,1,2,5,5,5,5,5,5,5,Öncelikle hepsinin eşit olduğunu her durumda birlikte olmaları gerektiğini öğretirdim. 
4/12/2025 19:06:15,4,4,5,3,2,3,4,4,3,4,3,5,3,Bir uygulama olup onu yükleyip derslere girerken puan kazanma gibi bir sistem ve derslerden sonrada borusu puan için tek seferde çözmeli ufak bir test olacak şekilde bir uygulama olsaydı çoğu öğrencileri çekeceğini düşünüyorum ve şimdiki hocalar gibi istediğimiz zaman hocalara soru gönderebilirsek de daha iyi olur ama şimdiki hypatia dersleri çok iyi 
4/12/2025 19:15:42,5,5,5,4,4,4,4,3,3,4,4,5,5,Eşitsizlikten uzak durulmalı
4/12/2025 19:50:20,4,4,2,1,1,1,2,3,4,1,3,3,1,Daha çok sosyalleşmeleti lazım gençlerin
4/12/2025 23:37:52,5,5,5,4,1,4,5,5,5,5,5,5,5,Sizler gibi  destekleyici derslere devam ederim çünkü çok memnunum
4/12/2025 23:57:43,5,5,4,5,4,5,4,1,3,5,3,5,5,Yok
4/13/2025 15:14:46,4,4,3,1,4,5,3,3,4,3,2,3,3,Hedefleri benzer olan akran grupları oluşturmak ve bu şekilde devam etmek
4/13/2025 16:26:22,4,4,4,3,2,4,2,3,4,3,3,4,3,Herhangi bir önerim yok 
4/13/2025 16:27:29,5,5,5,4,1,5,3,4,5,5,5,5,5,Akranlarla koçluklar
4/13/2025 16:42:33,4,4,3,4,3,3,3,3,3,2,3,5,5,Daha fazla birebir dersler olursa daha iyi olur diye düşünüyorum teşekkür ediyorum 
4/13/2025 18:02:11,5,5,5,5,1,3,4,3,4,5,4,5,5,Yok
4/13/2025 19:13:57,4,4,4,5,2,5,1,5,5,4,5,4,,1.00E+01
4/13/2025 19:30:07,5,5,5,4,1,1,5,5,5,5,5,5,5,Bire bir eğitim verebiliriz
4/13/2025 19:30:49,4,5,5,5,1,4,4,5,5,5,3,5,5,Ne olursa olsun asla vazgeçmeyin BU DUNYADA ARTIK İMKANSIZLIKLAR BİLE İMKAN DAHİLİNDE😉
4/13/2025 19:34:07,5,5,5,5,1,5,5,5,5,3,3,,,"Ders secenegi arttırılabilir 
"
4/13/2025 19:53:08,5,5,5,5,1,5,5,5,5,5,4,1,3,bilmiyorum 😔😔
4/13/2025 20:08:28,5,5,5,3,1,5,5,5,5,4,4,5,5,Beraber etkinlik yapmak beraber gezilere gitmek gibi birbirlerini tanımak gibi eksiklerini bilmek birbirlerine yardımcı olabilir derskonusunda beraber ders çalışmak ikili üçlü grup kurup soru çözmek eksiklerini görüp giderebilir 
